N = 200 
0,179 
0,158 
0,115 
0,94 
0,73 
0,36 
0,30 
0,7 
0,2 
0,1 
1,192 
1,191 
1,190 
1,183 
1,173 
1,159 
1,153 
1,144 
1,138 
1,133 
1,124 
1,119 
1,110 
1,95 
1,93 
1,89 
1,70 
1,69 
1,65 
1,61 
1,58 
1,51 
1,48 
1,47 
1,40 
1,34 
1,29 
1,28 
1,20 
1,16 
1,10 
1,8 
1,5 
1,4 
1,2 
1,0 
2,197 
2,160 
2,141 
2,96 
2,90 
2,46 
2,39 
2,38 
2,35 
2,24 
2,15 
2,13 
2,11 
2,9 
2,6 
2,3 
2,1 
2,0 
3,148 
3,111 
3,83 
3,31 
3,27 
3,23 
3,21 
3,17 
3,14 
3,12 
3,2 
4,130 
4,106 
4,1 
5,161 
5,142 
5,140 
5,137 
5,116 
5,92 
5,56 
5,52 
5,1 
6,2 
7,0 
8,18 
8,1 
9,181 
9,127 
9,41 
9,2 
10,84 
10,59 
10,33 
10,1 
11,147 
11,85 
11,57 
11,45 
11,25 
11,22 
11,2 
12,184 
12,3 
13,63 
13,19 
13,2 
14,198 
14,166 
14,164 
14,3 
15,37 
15,2 
16,1 
17,3 
18,26 
18,8 
19,131 
19,108 
19,54 
19,13 
20,1 
21,3 
22,169 
22,32 
22,11 
23,3 
24,91 
24,76 
24,60 
24,53 
24,2 
25,43 
25,11 
26,128 
26,117 
26,55 
26,18 
27,150 
27,3 
28,1 
29,185 
29,1 
30,0 
31,107 
31,3 
32,195 
32,114 
32,105 
32,79 
32,22 
33,75 
33,10 
34,72 
34,1 
35,74 
35,42 
35,2 
36,0 
37,165 
37,64 
37,15 
38,2 
39,180 
39,162 
39,81 
39,2 
40,68 
40,67 
40,1 
41,157 
41,135 
41,120 
41,103 
41,44 
41,9 
42,78 
42,66 
42,35 
43,172 
43,50 
43,49 
43,25 
44,41 
45,11 
46,2 
47,136 
47,87 
47,82 
47,1 
48,132 
48,122 
48,1 
49,43 
50,175 
50,125 
50,43 
51,193 
51,112 
51,1 
52,62 
52,5 
53,24 
54,71 
54,19 
55,80 
55,26 
56,154 
56,5 
57,11 
58,1 
59,10 
60,97 
60,77 
60,24 
61,129 
61,98 
61,1 
62,52 
63,13 
64,152 
64,88 
64,37 
65,1 
66,42 
67,40 
68,40 
69,1 
70,156 
70,118 
70,1 
71,149 
71,54 
72,102 
72,34 
73,0 
74,35 
75,33 
76,24 
77,60 
78,145 
78,86 
78,42 
79,32 
80,55 
81,39 
82,47 
83,168 
83,3 
84,155 
84,101 
84,10 
85,11 
86,78 
87,47 
88,64 
89,199 
89,151 
89,123 
89,113 
89,100 
89,99 
89,1 
90,2 
91,24 
92,104 
92,5 
93,1 
94,0 
95,163 
95,1 
96,2 
97,60 
98,126 
98,61 
99,89 
100,177 
100,89 
101,84 
102,72 
103,41 
104,92 
105,32 
106,4 
107,109 
107,31 
108,19 
109,107 
110,1 
111,182 
111,121 
111,3 
112,51 
113,89 
114,32 
115,0 
116,143 
116,5 
117,26 
118,70 
119,1 
120,41 
121,174 
121,111 
122,178 
122,48 
123,176 
123,89 
124,186 
124,146 
124,1 
125,50 
126,98 
127,9 
128,26 
129,194 
129,170 
129,134 
129,61 
130,189 
130,4 
131,167 
131,19 
132,48 
133,1 
134,139 
134,129 
135,41 
136,47 
137,5 
138,1 
139,134 
140,188 
140,5 
141,2 
142,5 
143,116 
144,1 
145,78 
146,124 
147,171 
147,11 
148,3 
149,71 
150,27 
151,89 
152,64 
153,1 
154,56 
155,84 
156,70 
157,41 
158,0 
159,1 
160,2 
161,5 
162,39 
163,95 
164,14 
165,37 
166,187 
166,14 
167,131 
168,83 
169,22 
170,129 
171,147 
172,43 
173,1 
174,121 
175,50 
176,123 
177,100 
178,122 
179,0 
180,39 
181,9 
182,111 
183,196 
183,1 
184,12 
185,29 
186,124 
187,166 
188,140 
189,130 
190,1 
191,1 
192,1 
193,51 
194,129 
195,32 
196,183 
197,2 
198,14 
199,89 
